project,strategy,ctx_level,ctx_lang,bleu,baseline_bleu,delta,rank
man-db_v2.13.1-pre1,LLAMA,ctx-2,"ID, VI",27.90019727121813,27.8991167195151,0.0010805517030298972,21
nano_v8.4-pre1,LLAMA,ctx-2,"ES, ID",30.793492678561215,27.149679432012405,3.6438132465488096,1
nano_v8.4-pre1,LLAMA,ctx-2,"ES, FR",30.520692473625605,27.149679432012405,3.3710130416131996,2
nano_v8.4-pre1,LLAMA,ctx-2,"DE, ES",29.826567464904876,27.149679432012405,2.676888032892471,3
nano_v8.4-pre1,LLAMA,ctx-2,"DE, ID",29.308142426320323,27.149679432012405,2.158462994307918,4
nano_v8.4-pre1,LLAMA,ctx-2,"FR, ID",29.248626320052747,27.149679432012405,2.0989468880403415,5
nano_v8.4-pre1,LLAMA,ctx-2,"DE, FR",29.187250021715695,27.149679432012405,2.0375705897032894,6
nano_v8.4-pre1,LLAMA,ctx-2,"DE, VI",28.738502679849564,27.149679432012405,1.5888232478371584,7
nano_v8.4-pre1,LLAMA,ctx-2,"DE, ZH_CN",28.587887409943107,27.149679432012405,1.438207977930702,8
nano_v8.4-pre1,LLAMA,ctx-2,"DE, RU",28.22237789805684,27.149679432012405,1.0726984660444359,9
nano_v8.4-pre1,LLAMA,ctx-2,"ES, ZH_CN",28.203566531458005,27.149679432012405,1.0538870994455998,10
nano_v8.4-pre1,LLAMA,ctx-2,"FR, ZH_CN",27.55400635621698,27.149679432012405,0.4043269242045753,11
nano_v8.4-pre1,LLAMA,ctx-2,"ES, RU",27.46168927046595,27.149679432012405,0.3120098384535446,12
nano_v8.4-pre1,LLAMA,ctx-2,"ID, RU",27.290948873365625,27.149679432012405,0.14126944135322006,13
nano_v8.4-pre1,LLAMA,ctx-2,"RU, ZH_CN",27.27628613740816,27.149679432012405,0.12660670539575491,14
nano_v8.4-pre1,LLAMA,ctx-2,"ES, VI",26.60024527726853,27.149679432012405,-0.5494341547438744,15
nano_v8.4-pre1,LLAMA,ctx-2,"RU, VI",26.429611606758336,27.149679432012405,-0.7200678252540698,16
nano_v8.4-pre1,LLAMA,ctx-2,"ID, ZH_CN",26.397533897811215,27.149679432012405,-0.7521455342011905,17
nano_v8.4-pre1,LLAMA,ctx-2,"VI, ZH_CN",25.53357335037842,27.149679432012405,-1.616106081633987,18
